path1,path2,path3,path4,word1,word2,word3,word4,delay,index,practiceTrial.thisRepN,practiceTrial.thisTrialN,practiceTrial.thisN,practiceTrial.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,welcomeScreen.started,text.started,textbox.started,text.stopped,welcomeScreen.stopped,start_resp.keys,start_resp.rt,start_resp.duration,practiceSesh.started,practiceText.started,key_resp.started,practiceSesh.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trialStart.started,text_3.started,text_4.started,trialStart.stopped,firstWord.started,firstW.started,polygon.started,firstW.stopped,polygon.stopped,firstWord.stopped,secondWord.started,secondW.started,secondW.stopped,polygon_2.started,polygon_2.stopped,secondWord.stopped,thirdWord.started,thirdW.started,thirdW.stopped,polygon_3.started,polygon_3.stopped,thirdWord.stopped,fourthWord.started,fourthW.started,sound_1.started,fourthW.stopped,fourthWord.stopped,response.started,text_6.started,key_resp_2.started,response.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trialEnd.started,text_8.started,text_8.stopped,trialEnd.stopped,text_3.stopped,text_4.stopped,experimentStart.started,text_7.started,key_resp_3.started,experimentStart.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,EndScreen.started,text_5.started,text_5.stopped,EndScreen.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.003317599999718368,0.028589699999429286,4.013042600010522,4.029949799994938,6.097239200025797,space,2.067963699926622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.097271400038153,6.112518800073303,6.112518800073303,8.513731800019741,space,2.399780399980955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_12\card_en-IN-Standard-X.wav,audio\set_12\yard_en-IN-Standard-X.wav,audio\set_12\yards_en-IN-Standard-X.wav,audio\set_12\bard_en-IN-Standard-X.wav,card,yard,yards,bard,900,,0,0,0,2,,,,,8.546269800048321,,,,,,,,,,,,,,,,,8.535650000092573,8.546269800048321,8.546269800048321,11.528377200011164,11.528408200014383,11.54496480000671,13.527883300092071,13.544484100071713,14.027930499985814,14.0116616000887,14.011678599985316,14.027930499985814,16.027427199995145,16.027427199995145,16.527472999994643,16.511973900021985,16.512000199989416,16.527472999994643,18.526962300064042,18.526962300064042,19.04207690001931,19.01182290003635,19.01185950008221,19.04207690001931,0.913043100037612,21.04306519997772,21.027095700032078,21.027120399987325,21.04306519997772,21.04306519997772,22.876995200058445,y,1.8279688000911847,None,22.88462630007416,22.89310069999192,24.39253870001994,24.376449499977753,,,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_12\card_en-IN-Standard-C.wav,audio\set_12\yard_en-IN-Standard-C.wav,audio\set_12\yards_en-IN-Standard-C.wav,audio\set_12\bard_en-IN-Standard-C.wav,card,yard,yards,bard,600,,0,1,1,1,,,,,24.39253870001994,,,,,,,,,,,,,,,,,24.376877999980934,24.39253870001994,24.39253870001994,27.375974100083113,27.375990500091575,27.39179480005987,29.39150220004376,29.39150220004376,29.891443000058644,29.875465900055133,29.87548330007121,29.891443000058644,31.891721600084566,31.891721600084566,32.39091230009217,32.37502470007166,32.37504060007632,32.39091230009217,34.390565900015645,34.390565900015645,34.892203200026415,34.87442570005078,34.874444400076754,34.892203200026415,0.6057846000185236,36.90780669997912,36.89134239999112,36.89136720006354,36.90780669997912,36.90780669997912,37.524525700020604,y,0.60135520005133,None,37.52482160006184,37.540122500038706,39.03961029998027,39.02376530005131,27.39179480005987,27.39179480005987,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_12\card_en-IN-Standard-A.wav,audio\set_12\yard_en-IN-Standard-A.wav,audio\set_12\yards_en-IN-Standard-A.wav,audio\set_12\bard_en-IN-Standard-A.wav,card,yard,yards,bard,200,,0,2,2,0,,,,,39.03961029998027,,,,,,,,,,,,,,,,,39.024203400011174,39.03961029998027,39.03961029998027,42.02308399998583,42.023099899990484,42.039235900039785,44.038571599987336,44.038571599987336,44.53881529998034,44.52361420006491,44.52363050007261,44.53881529998034,46.53866070008371,46.53866070008371,47.03815759997815,47.02268629998434,47.02270309999585,47.03815759997815,49.03782600001432,49.03782600001432,49.537746599991806,49.521500600036234,49.52153760008514,49.537746599991806,0.21342260006349534,51.53731689997949,51.52100020006765,51.521023500012234,51.53731689997949,51.53731689997949,55.60458080004901,y,4.063593899947591,None,55.60488480003551,55.62006930005737,57.26031070004683,57.1035128000658,42.039235900039785,42.039235900039785,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.103575900080614,57.26031070004683,59.11892270005774,61.386284000007436,space,2.2514368999982253,None,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_2\mood_en-IN-Standard-X.wav,audio\set_8\bow_en-IN-Standard-X.wav,audio\set_0\wheat_en-IN-Standard-X.wav,audio\set_0\sleet_en-IN-Standard-X.wav,mood,bow,heat,sleet,1000,7,,,,,0,0,0,23,61.425903300056234,,,,,,,,,,,,,,,,,61.418697500019334,61.425903300056234,61.425903300056234,64.4015430000145,64.40155609999783,64.41883950005285,66.40099069999997,66.43437560007442,66.90082510001957,66.88571080006659,66.88572670007125,66.90082510001957,68.90046250005253,68.90046250005253,69.40039700001944,69.3843152000336,69.38434890005738,69.40039700001944,71.400720500038,71.400720500038,71.91505389998201,71.88386599998921,71.88388420001138,71.91505389998201,1.0134307000553235,73.91609760001302,73.90035480004735,73.90039730002172,73.91609760001302,73.91609760001302,74.05054080008995,y,0.12838080001529306,None,74.05102150002494,74.06662649998907,75.56587090005632,75.55089270009194,,,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_8\vow_en-IN-Standard-A.wav,audio\set_1\right_en-IN-Standard-A.wav,audio\set_6\tree_en-IN-Standard-A.wav,audio\set_2\good_en-IN-Standard-A.wav,vow,right,tree,good,800,6,,,,,0,1,1,6,75.56587090005632,,,,,,,,,,,,,,,,,75.55117290001363,75.56587090005632,75.56587090005632,78.54939080006443,78.54940660006832,78.56549930002075,80.56486230005976,80.56486230005976,81.06480360007845,81.0488879000768,81.04890450008679,81.06480360007845,83.06480880000163,83.06480880000163,83.56422240007669,83.54811710002832,83.54813340003602,83.56422240007669,85.56443670007866,85.56443670007866,86.07787450007163,86.04924480000045,86.04927359998692,86.07787450007163,0.81242019997444,88.08011890004855,88.06401390000246,88.06403740006499,88.08011890004855,88.08011890004855,88.63125530001707,y,0.5409568999893963,None,88.63155320007354,88.6466399000492,90.1463607000187,90.13039270008449,78.56549930002075,78.56549930002075,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_0\beat_en-IN-Standard-C.wav,audio\set_0\wheat_en-IN-Standard-C.wav,"audio\set_0
eed_en-IN-Standard-C.wav",audio\set_0\heat_en-IN-Standard-C.wav,beat,wheat,need,heat,200,1,,,,,0,2,2,9,90.1463607000187,,,,,,,,,,,,,,,,,90.1307414000621,90.1463607000187,90.1463607000187,93.12991780007724,93.1299342000857,93.14575550006703,95.14562740002293,95.14562740002293,95.64601510006469,95.62923960003536,95.62925680004992,95.64601510006469,97.64522810000926,97.64522810000926,98.14483750006184,98.12877240008675,98.12880649999715,98.14483750006184,100.14440360001754,100.14440360001754,100.64560050005093,100.6287231000606,100.62875160004478,100.64560050005093,0.21267789998091757,102.66062700003386,102.64560100005474,102.64562450000085,102.66062700003386,102.66062700003386,104.52818790008314,n,1.85471610003151,None,104.52847460005432,104.54357099998742,106.04343830002472,106.0275691000279,93.14575550006703,93.14575550006703,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_6\bee_en-IN-Standard-C.wav,audio\set_6\dee_en-IN-Standard-C.wav,audio\set_6\tree_en-IN-Standard-C.wav,audio\set_6\plea_en-IN-Standard-C.wav,bee,dee,tree,plea,500,3,,,,,0,3,3,11,106.04343830002472,,,,,,,,,,,,,,,,,106.02787280001212,106.04343830002472,106.04343830002472,109.0268126000883,109.02682889997959,109.04262040008325,111.04249380005058,111.04249380005058,111.54256109998096,111.52727930003311,111.52730539999902,111.54256109998096,113.54174070002045,113.54174070002045,114.04188270005397,114.02639850007836,114.0264147000853,114.04188270005397,116.04135419998784,116.04135419998784,116.54422929999419,116.52537789999042,116.52539560000878,116.54422929999419,0.5126952000427991,118.55768570001237,118.54150070005562,118.54152440000325,118.55768570001237,118.55768570001237,118.84190130000934,n,0.27396249992307276,None,118.84221710008569,118.85734490002505,120.35730690008495,120.34137809998356,109.04262040008325,109.04262040008325,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_11\crawl_en-IN-Standard-A.wav,audio\set_0\sleet_en-IN-Standard-A.wav,audio\set_2\wood_en-IN-Standard-A.wav,audio\set_5\bat_en-IN-Standard-A.wav,crawl,sleet,wood,bat,1000,7,,,,,0,4,4,7,120.35730690008495,,,,,,,,,,,,,,,,,120.34173760004342,120.35730690008495,120.35730690008495,123.34057970007416,123.3405964000849,123.35657340008765,125.3564020000631,125.3564020000631,125.85608800000045,125.84010050003417,125.84011840005405,125.85608800000045,127.85597500007134,127.85597500007134,128.35577060002834,128.34087469999213,128.34089890005998,128.35577060002834,130.35523480002303,130.35523480002303,130.86833460000344,130.8393887000857,130.8394051999785,130.86833460000344,1.0130074999760836,132.8713398000691,132.85543240001425,132.85545680008363,132.8713398000691,132.8713398000691,135.0222268999787,y,2.1495056999847293,None,135.02251779998187,135.03757130005397,136.53721009998117,136.52131400001235,123.35657340008765,123.35657340008765,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_3\train_en-IN-Standard-A.wav,audio\set_3\train_en-IN-Standard-A.wav,audio\set_3\lane_en-IN-Standard-A.wav,audio\set_3\main_en-IN-Standard-A.wav,rain,train,lane,main,0,0,,,,,0,5,5,0,136.53721009998117,,,,,,,,,,,,,,,,,136.52159550006036,136.53721009998117,136.53721009998117,139.52083880000282,139.52085460000671,139.5368398000719,141.53620189998765,141.53620189998765,142.0365546999965,142.0203253000509,142.02034230006393,142.0365546999965,144.03591059998143,144.03591059998143,144.5357687000651,144.520555300056,144.52057200006675,144.5357687000651,146.53542880003806,146.53542880003806,147.12017340003513,147.0193571000127,147.01937520003412,147.12017340003513,0.09362820000387728,149.13505859998986,149.11892270005774,149.11895420006476,149.13505859998986,149.13505859998986,150.65237280004658,n,1.5050250999629498,None,150.65268489997834,150.66785399999935,152.16768449998926,152.15204299998004,139.5368398000719,139.5368398000719,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_5\bat_en-IN-Standard-A.wav,audio\set_5\rat_en-IN-Standard-A.wav,audio\set_5\sat_en-IN-Standard-A.wav,audio\set_5\vat_en-IN-Standard-A.wav,bat,rat,sat,vat,400,2,,,,,0,6,6,2,152.16768449998926,,,,,,,,,,,,,,,,,152.15240060002543,152.16768449998926,152.16768449998926,155.1511935000308,155.15120920003392,155.16714969999157,157.16691250004806,157.16691250004806,157.66676609998103,157.65109569998458,157.6511438000016,157.66676609998103,159.66618709999602,159.66618709999602,160.16607640008442,160.15023340005428,160.15025100007188,160.16607640008442,162.16590840008575,162.16590840008575,162.66730129998177,162.64963400003035,162.64965130004566,162.66730129998177,0.4137795999413356,164.68193960003555,164.66576970007736,164.66579300002195,164.68193960003555,164.68193960003555,167.3326948999893,n,2.648113000090234,None,167.3329774000449,167.34800820006058,168.84783199999947,168.83174060005695,155.16714969999157,155.16714969999157,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_3\train_en-IN-Standard-X.wav,audio\set_5\sat_en-IN-Standard-X.wav,audio\set_11\wall_en-IN-Standard-X.wav,audio\set_2\brood_en-IN-Standard-X.wav,rain,sat,wall,brood,600,5,,,,,0,7,7,21,168.84783199999947,,,,,,,,,,,,,,,,,168.83202960004564,168.84783199999947,168.84783199999947,171.83186939998996,171.83189070003573,171.84802869998384,173.8467065000441,173.86347730003763,174.34681500005536,174.3316786000505,174.33169840008486,174.34681500005536,176.34640779998153,176.34640779998153,176.84614929999225,176.8301894000033,176.83020580001175,176.84614929999225,178.84595139999874,178.84595139999874,179.35743810003623,179.3306204000255,179.33063680003397,179.35743810003623,0.6126453999895602,181.3619131000014,181.3460488000419,181.34607319999486,181.3619131000014,181.3619131000014,182.12961990002077,n,0.7591706999810413,None,182.13001289998647,182.14523590006866,183.64487600000575,183.6290310000768,171.84802869998384,171.84802869998384,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_1\light_en-IN-Standard-C.wav,audio\set_1\might_en-IN-Standard-C.wav,audio\set_1\right_en-IN-Standard-C.wav,audio\set_1\fight_en-IN-Standard-C.wav,light,might,right,fight,400,2,,,,,0,8,8,10,183.64487600000575,,,,,,,,,,,,,,,,,183.6293971000705,183.64487600000575,183.64487600000575,186.62828050006647,186.62829740007874,186.64437200000975,188.64497330004815,188.64497330004815,,189.14390270004515,189.14393190003466,189.16041000001132,191.160018100054,191.14331539999694,191.64330970006995,191.62746029999107,191.62748010002542,191.64330970006995,193.64363439998124,193.64363439998124,194.14514979999512,194.12782410008367,194.1278412999818,194.14514979999512,0.4128595000365749,196.15901509998366,196.1431312999921,196.14315620006528,196.15901509998366,196.15901509998366,197.32688200008124,y,1.161717199953273,None,197.327165100025,197.34220469999127,198.8420316000702,198.82597380003426,186.64437200000975,186.64437200000975,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_3\main_en-IN-Standard-A.wav,audio\set_5\rat_en-IN-Standard-A.wav,audio\set_10\guy_en-IN-Standard-A.wav,audio\set_11\bawl_en-IN-Standard-A.wav,main,rat,guy,bawl,600,5,,,,,0,9,9,5,198.8420316000702,,,,,,,,,,,,,,,,,198.82628380006645,198.8420316000702,198.8420316000702,201.8253308000276,201.82534670003224,201.8414124000119,203.8416224999819,203.8416224999819,204.34091600007378,204.3255460000364,204.3255626000464,204.34091600007378,206.34033060004003,206.34033060004003,206.84057990007568,206.82432600005995,206.82434280007146,206.84057990007568,208.8403506000759,208.8403506000759,209.35670450003818,209.32402739999816,209.32407460000832,209.35670450003818,0.6126927000004798,211.35635640006512,211.34029249998275,211.3403185000643,211.35635640006512,211.35635640006512,211.67378339997958,y,0.30082559993024915,None,211.67412660003174,211.68941600003745,213.1892617000267,213.17350510007236,201.8414124000119,201.8414124000119,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_2\food_en-IN-Standard-C.wav,audio\set_2\mood_en-IN-Standard-C.wav,audio\set_2\wood_en-IN-Standard-C.wav,audio\set_2\brood_en-IN-Standard-C.wav,food,mood,wood,brood,0,0,,,,,0,10,10,8,213.1892617000267,,,,,,,,,,,,,,,,,213.17381449998356,213.1892617000267,213.1892617000267,216.17260420008097,216.17261980008334,216.18859140004497,218.18799590005074,218.18799590005074,218.68825960007962,218.6719647999853,218.6719821000006,218.68825960007962,220.6878995000152,220.6878995000152,221.18746270006523,221.17162270005792,221.17163940006867,221.18746270006523,223.188196000061,223.188196000061,,223.68798120005522,223.6880133000668,223.7071608999977,0.027091500000096858,225.7200574000599,225.7041123000672,225.7041423000628,225.7200574000599,225.7200574000599,226.02123309997842,n,0.2848626000341028,None,226.0215262999991,226.0366098000668,227.53652329999022,227.52032550005242,216.18859140004497,216.18859140004497,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
audio\set_5\bat_en-IN-Standard-A.wav,audio\set_6\tree_en-IN-Standard-A.wav,audio\set_9\ox_en-IN-Standard-A.wav,audio\set_7\float_en-IN-Standard-A.wav,bat,tree,ox,float,550,4,,,,,0,11,11,4,227.53652329999022,,,,,,,,,,,,,,,,,227.520605500089,227.53652329999022,227.53652329999022,230.51986080000643,230.51987650000956,230.5357689000666,232.535765800043,232.535765800043,233.03523170005064,233.01945890008938,233.0194834000431,233.03523170005064,235.03605680004694,235.03605680004694,235.5348841000814,235.51959460007492,235.51961239997763,235.5348841000814,237.53438900003675,237.53438900003675,238.03931130003184,238.01856580004096,238.01860070007388,238.03931130003184,0.562815299956128,240.05060570000205,240.03453960001934,240.0345625000773,240.05060570000205,240.05060570000205,241.01890989998356,n,0.9650879999389872,None,241.01919060002547,241.03363710001577,242.5333159000147,242.51764550001826,230.5357689000666,230.5357689000666,,,,,,,,,,,,3,001,2023-11-29_00h16.50.578,pitch_toj,2023.2.3,59.97904331630535,2023-11-29 00h17.08.805771 +0530,
